gene_id	20.NM1__d1	20.NM1__d2
H2NCmale_00000329-RA	0	0
H2NCmale_00000330-RA	0	0
H2NCmale_00000331-RA	0	0
H2NCmale_00000332-RA	0	0
H2NCmale_00000333-RA	0	0
H2NCmale_00000340-RA	0	0
H2NCmale_00000341-RA	0	0
H2NCmale_00000342-RA	0	0
H2NCmale_00000343-RA	0	0
H2NCmale_00000344-RA	0	0
H2NCmale_00000345-RA	0	0
H2NCmale_00000346-RA	0	0
H2NCmale_00000350-RA	0	0
H2NCmale_00000351-RA	0	0
H2NCmale_00000352-RA	0	0
H2NCmale_00000354-RA	0	0
H2NCmale_00000359-RA	0	0
H2NCmale_00000360-RA	0	0
H2NCmale_00000361-RA	0	0
H2NCmale_00000362-RA	0	0
H2NCmale_00000365-RA	0	0
H2NCmale_00000366-RA	0	0
H2NCmale_00000367-RA	0	0
H2NCmale_00000368-RA	0	0
H2NCmale_00000369-RA	0	0
H2NCmale_00000370-RA	0	0
H2NCmale_00000371-RA	0	0
H2NCmale_00000372-RA	0	0
H2NCmale_00000374-RA	0	0
H2NCmale_00000375-RA	0	0
H2NCmale_00000376-RA	0	0
H2NCmale_00000377-RA	0	0
H2NCmale_00000380-RA	0	0
H2NCmale_00000382-RA	0	0
H2NCmale_00000384-RA	0	0
H2NCmale_00000385-RA	0	0
H2NCmale_00000386-RA	0	0
H2NCmale_00000387-RA	0	0
H2NCmale_00000388-RA	0	0
H2NCmale_00000391-RA	0	0
H2NCmale_00000392-RA	0	0
H2NCmale_00000396-RA	0	0
H2NCmale_00000397-RA	0	0
H2NCmale_00000398-RA	0	0
H2NCmale_00000399-RA	0	0
H2NCmale_00000400-RA	0	0
H2NCmale_00000401-RA	0	0
H2NCmale_00000402-RA	0	0
H2NCmale_00000403-RA	0	0
H2NCmale_00000404-RA	0	0
H2NCmale_00000408-RA	0	0
H2NCmale_00000411-RA	0	0
H2NCmale_00000413-RA	0	0
H2NCmale_00000414-RA	0	0
H2NCmale_00000416-RA	0	0
H2NCmale_00000418-RA	0	0
H2NCmale_00000421-RA	0	0
H2NCmale_00000423-RA	0	0
H2NCmale_00000425-RA	0	0
H2NCmale_00000426-RA	0	0
H2NCmale_00000427-RA	0	0
H2NCmale_00000428-RA	0	0
H2NCmale_00000429-RA	0	0
H2NCmale_00000430-RA	0	0
H2NCmale_00000431-RA	0	0
H2NCmale_00000433-RA	0	0
H2NCmale_00000434-RA	0	0
H2NCmale_00000436-RA	0	0
H2NCmale_00000437-RA	0	0
H2NCmale_00000438-RA	0	0
H2NCmale_00000439-RA	0	0
H2NCmale_00000443-RA	0	0
